iter	MultiLogloss
0	0.6866336669
1	0.6800695993
2	0.6738110971
3	0.6678046556
4	0.6619295752
5	0.6559288702
6	0.6501007383
7	0.64456095
8	0.6390116562
9	0.6339302087
10	0.6282366702
11	0.6232615768
12	0.6178686081
13	0.6129150076
14	0.6081696718
15	0.6036893135
16	0.5992422314
17	0.5942952532
18	0.5899231986
19	0.5853622875
20	0.581414369
21	0.5769344489
22	0.5726731853
23	0.5688005494
24	0.5650120417
25	0.5610738993
26	0.5570580063
27	0.5533951938
28	0.5498774434
29	0.5461575004
30	0.5428082363
31	0.5395178643
32	0.5361580083
33	0.5328485157
34	0.5298105083
35	0.5264530063
36	0.5233327766
37	0.5204168188
38	0.5176105697
39	0.5145186755
40	0.5114450352
41	0.5088557126
42	0.5062837983
43	0.5034475927
44	0.5005685565
45	0.4979813668
46	0.495164556
47	0.4928151012
48	0.4901811827
49	0.4876089558
50	0.4854388589
51	0.4828864389
52	0.4804604253
53	0.4779995014
54	0.4756241169
55	0.4734071895
56	0.4712110242
57	0.4691517672
58	0.4670267881
59	0.4648982775
60	0.4628281314
61	0.4610870125
62	0.4592667529
63	0.4574847829
64	0.4557230812
65	0.4538360818
66	0.4521072098
67	0.4502503284
68	0.4485005192
69	0.4467347706
70	0.4451617549
71	0.4434574324
72	0.4419843588
73	0.4405396108
74	0.4389851725
75	0.4373836392
76	0.4360315125
77	0.434465792
78	0.4330045524
79	0.4317233852
80	0.4304186524
81	0.4291045725
82	0.4278748276
83	0.4265861195
84	0.4251472258
85	0.4237712485
86	0.4225203041
87	0.421081122
88	0.4198396421
89	0.4186234397
90	0.4175778825
91	0.4163076681
92	0.4149611784
93	0.4137594489
94	0.412522729
95	0.4113469115
96	0.410397908
97	0.4092563544
98	0.4080207928
99	0.4070125876
