iter	Passed	Remaining
0	56	5553
1	60	2964
2	67	2184
3	73	1766
4	81	1547
5	91	1434
6	101	1344
7	105	1208
8	106	1073
9	111	999
10	117	947
11	123	907
12	143	961
13	156	960
14	162	920
15	170	897
16	182	890
17	190	867
18	197	842
19	208	835
20	219	824
21	225	800
22	234	785
23	241	765
24	247	742
25	252	717
26	257	697
27	262	676
28	263	645
29	268	625
30	274	611
31	276	588
32	284	577
33	290	563
34	298	553
35	304	540
36	308	526
37	316	517
38	324	507
39	333	499
40	339	488
41	349	482
42	353	469
43	362	461
44	368	450
45	376	442
46	379	428
47	381	413
48	388	404
49	396	396
50	402	386
51	407	376
52	412	365
53	417	355
54	423	346
55	426	335
56	429	324
57	434	314
58	439	305
59	442	295
60	447	286
61	452	277
62	456	268
63	462	259
64	464	250
65	468	241
66	471	232
67	475	223
68	480	216
69	489	209
70	496	202
71	512	199
72	517	191
73	526	185
74	534	178
75	540	170
76	545	162
77	556	157
78	564	150
79	566	141
80	573	134
81	587	128
82	592	121
83	599	114
84	612	108
85	621	101
86	630	94
87	636	86
88	640	79
89	644	71
90	650	64
91	653	56
92	655	49
93	662	42
94	669	35
95	676	28
96	684	21
97	689	14
98	696	7
99	708	0
